"","county","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black"
"40","Winneshiek","Whisky",430894,28228,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189
"41","Winneshiek","Gin",48167,3395,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189
"42","Winneshiek","Vodka",302431,28006,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189
"43","Winneshiek","Misc",123091,6948,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189
"44","Winneshiek","Rum",197902,13310,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189
"45","Winneshiek","Brandy",48442,4024,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189
"46","Winneshiek","Amaretto",6755,629,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189
"47","Winneshiek","Tequila",63072,4225,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189
"48","Winneshiek","Schnapps",79322,6261,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189
"49","Allamakee","Brandy",40302,3649,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,2.05113920434255,96.4002571244911,0.842796943075495
"50","Allamakee","Rum",123946,8436,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,2.05113920434255,96.4002571244911,0.842796943075495
"51","Allamakee","Tequila",22729,1451,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,2.05113920434255,96.4002571244911,0.842796943075495
"52","Allamakee","Misc",69287,4301,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,2.05113920434255,96.4002571244911,0.842796943075495
"53","Allamakee","Whisky",287559,21650,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,2.05113920434255,96.4002571244911,0.842796943075495
"54","Allamakee","Gin",11174,901,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,2.05113920434255,96.4002571244911,0.842796943075495
"55","Allamakee","Vodka",158147,15919,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,2.05113920434255,96.4002571244911,0.842796943075495
"56","Allamakee","Amaretto",2381,239,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,2.05113920434255,96.4002571244911,0.842796943075495
"57","Allamakee","Schnapps",79787,6237,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,2.05113920434255,96.4002571244911,0.842796943075495
"58","Allamakee","Distilled Spirits",3430,232,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,2.05113920434255,96.4002571244911,0.842796943075495
"59","Polk","Vodka",16434338,1288859,91.7,35.6,5.2,35121,459159,390415,29390,1277,18813,366,6735,12163,0.0764898433875847,85.0282799640212,6.40083282697279
"60","Polk","Misc",5464019,302997,91.7,35.6,5.2,35121,459159,390415,29390,1277,18813,366,6735,12163,0.0764898433875847,85.0282799640212,6.40083282697279
"61","Polk","Brandy",2661985,114798,91.7,35.6,5.2,35121,459159,390415,29390,1277,18813,366,6735,12163,0.0764898433875847,85.0282799640212,6.40083282697279
"62","Polk","Whisky",20496221,1084197,91.7,35.6,5.2,35121,459159,390415,29390,1277,18813,366,6735,12163,0.0764898433875847,85.0282799640212,6.40083282697279
"63","Polk","Amaretto",211535,17655,91.7,35.6,5.2,35121,459159,390415,29390,1277,18813,366,6735,12163,0.0764898433875847,85.0282799640212,6.40083282697279
"64","Polk","Tequila",4764464,276985,91.7,35.6,5.2,35121,459159,390415,29390,1277,18813,366,6735,12163,0.0764898433875847,85.0282799640212,6.40083282697279
"65","Polk","Rum",6905429,487875,91.7,35.6,5.2,35121,459159,390415,29390,1277,18813,366,6735,12163,0.0764898433875847,85.0282799640212,6.40083282697279
"66","Polk","Schnapps",1859058,132832,91.7,35.6,5.2,35121,459159,390415,29390,1277,18813,366,6735,12163,0.0764898433875847,85.0282799640212,6.40083282697279
"67","Polk","Distilled Spirits",265531,20152,91.7,35.6,5.2,35121,459159,390415,29390,1277,18813,366,6735,12163,0.0764898433875847,85.0282799640212,6.40083282697279
"68","Polk","Gin",1997056,137088,91.7,35.6,5.2,35121,459159,390415,29390,1277,18813,366,6735,12163,0.0764898433875847,85.0282799640212,6.40083282697279
"69","Lee","Misc",292287,15142,91.8,14.6,7.9,27804,35172,32906,907,48,133,0,185,993,0.790515182531559,93.5573751848061,2.57875582849994
"70","Lee","Whisky",1216591,71385,91.8,14.6,7.9,27804,35172,32906,907,48,133,0,185,993,0.790515182531559,93.5573751848061,2.57875582849994
"71","Lee","Amaretto",11300,1178,91.8,14.6,7.9,27804,35172,32906,907,48,133,0,185,993,0.790515182531559,93.5573751848061,2.57875582849994
"72","Lee","Rum",459113,32823,91.8,14.6,7.9,27804,35172,32906,907,48,133,0,185,993,0.790515182531559,93.5573751848061,2.57875582849994
"73","Lee","Vodka",685252,64075,91.8,14.6,7.9,27804,35172,32906,907,48,133,0,185,993,0.790515182531559,93.5573751848061,2.57875582849994
"74","Lee","Tequila",188375,10261,91.8,14.6,7.9,27804,35172,32906,907,48,133,0,185,993,0.790515182531559,93.5573751848061,2.57875582849994
"75","Lee","Schnapps",250612,18519,91.8,14.6,7.9,27804,35172,32906,907,48,133,0,185,993,0.790515182531559,93.5573751848061,2.57875582849994
