"","zipcode","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black","total.sale","total.volume","price"
"36","52405",95.6,25.7,4.9,34931,25420,22915,1223,30,525,0,17,710,1.37415420928403,90.1455546813533,4.81117230527144,1858098,139918,13.2799068025558
"37","52404",92.4,22.1,5.9,29940,38337,32487,3265,208,530,0,502,1345,0.780968776899601,84.7405900305188,8.51657667527454,3603141,260377,13.8381692699432
"38","52403",93.2,36.2,4.8,35144,22961,20000,1436,70,519,15,43,878,1.53059535734506,87.1042201994687,6.25408301032185,1133610,78792,14.3873743527262
"39","52402",95.2,39.6,3.4,34431,41189,35844,1817,68,1770,26,630,1034,0.83592706790648,87.023234358688,4.41137196824395,8460888,586906,14.4160870735689
"40","52302",96,34.9,3.9,38371,39070,36670,805,22,646,0,177,750,0.982109035065267,93.8571794215511,2.06040440235475,2106737,157369,13.3872427225184
"41","50401",92.7,21.5,4.9,27457,29216,27442,586,93,349,0,179,567,0.939793263964951,93.9279846659365,2.00575027382256,3752779,286853,13.0825858540786
"42","50208",91.9,16.5,5.3,28074,20545,19423,507,59,162,0,35,359,1.36646385981991,94.5388172304697,2.4677537113653,1450338,109565,13.2372381691234
"43","51566",88.8,14.3,10.3,26834,6497,6101,0,0,0,0,152,244,4.13021394489764,93.9048791750039,0,577897,42939,13.4585574885302
"44","50265",96.1,48.9,2.9,39231,31754,27754,1392,51,1642,0,243,672,1.23546639793412,87.4031618063866,4.38369969137746,3908823,255123,15.3213273597441
"45","52544",89.7,19.3,7.2,26890,7346,7135,59,3,60,0,0,89,3.66049550775932,97.1276885379799,0.803158181323169,710531,52563,13.5177025664441
"46","50315",88.6,16.4,7.4,29366,35577,29867,2880,243,1221,0,691,675,0.825420918008826,83.9503049723136,8.09511763217809,2522795,178599,14.1254710272734
"47","50317",86.1,12.6,9,28282,37148,31838,2254,114,764,46,881,1251,0.761333046193604,85.7058253472596,6.06762140626682,3432596,236181,14.5337516565685
"48","50322",94.7,41.1,4.2,38763,31168,27267,1517,27,1027,107,175,1048,1.24367941478439,87.4839579055441,4.86717145790554,2869344,181419,15.8161162833
