"","city","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black"
"35","West Union","Rum",42386,3215,92.5,26,6.2,26134,2592,2413,116,20,37,0,0,6,10.0825617283951,93.0941358024691,4.47530864197531
"36","West Union","Brandy",5190,436,92.5,26,6.2,26134,2592,2413,116,20,37,0,0,6,10.0825617283951,93.0941358024691,4.47530864197531
"37","West Union","Tequila",10917,712,92.5,26,6.2,26134,2592,2413,116,20,37,0,0,6,10.0825617283951,93.0941358024691,4.47530864197531
"38","West Union","Amaretto",1713,229,92.5,26,6.2,26134,2592,2413,116,20,37,0,0,6,10.0825617283951,93.0941358024691,4.47530864197531
"39","West Union","Schnapps",22281,1755,92.5,26,6.2,26134,2592,2413,116,20,37,0,0,6,10.0825617283951,93.0941358024691,4.47530864197531
"40","Rockwell","Misc",5342,286,92.5,11.8,3.1,33281,1100,1062,32,0,0,0,0,6,30.2554545454545,96.5454545454545,2.90909090909091
"41","Rockwell","Tequila",1199,73,92.5,11.8,3.1,33281,1100,1062,32,0,0,0,0,6,30.2554545454545,96.5454545454545,2.90909090909091
"42","Rockwell","Rum",17589,1092,92.5,11.8,3.1,33281,1100,1062,32,0,0,0,0,6,30.2554545454545,96.5454545454545,2.90909090909091
"43","Rockwell","Whisky",41925,3472,92.5,11.8,3.1,33281,1100,1062,32,0,0,0,0,6,30.2554545454545,96.5454545454545,2.90909090909091
"44","Rockwell","Distilled Spirits",5,0,92.5,11.8,3.1,33281,1100,1062,32,0,0,0,0,6,30.2554545454545,96.5454545454545,2.90909090909091
"45","Rockwell","Gin",604,45,92.5,11.8,3.1,33281,1100,1062,32,0,0,0,0,6,30.2554545454545,96.5454545454545,2.90909090909091
"46","Rockwell","Vodka",17131,1935,92.5,11.8,3.1,33281,1100,1062,32,0,0,0,0,6,30.2554545454545,96.5454545454545,2.90909090909091
"47","Rockwell","Brandy",2098,199,92.5,11.8,3.1,33281,1100,1062,32,0,0,0,0,6,30.2554545454545,96.5454545454545,2.90909090909091
"48","Rockwell","Schnapps",5008,371,92.5,11.8,3.1,33281,1100,1062,32,0,0,0,0,6,30.2554545454545,96.5454545454545,2.90909090909091
"49","Rockwell","Amaretto",308,46,92.5,11.8,3.1,33281,1100,1062,32,0,0,0,0,6,30.2554545454545,96.5454545454545,2.90909090909091
"50","Fort Atkinson","Whisky",33047,2459,87.7,13.3,4.3,32031,259,252,0,0,0,0,0,7,123.671814671815,97.2972972972973,0
"51","Fort Atkinson","Gin",1132,143,87.7,13.3,4.3,32031,259,252,0,0,0,0,0,7,123.671814671815,97.2972972972973,0
"52","Fort Atkinson","Vodka",12680,1467,87.7,13.3,4.3,32031,259,252,0,0,0,0,0,7,123.671814671815,97.2972972972973,0
"53","Fort Atkinson","Misc",5239,302,87.7,13.3,4.3,32031,259,252,0,0,0,0,0,7,123.671814671815,97.2972972972973,0
"54","Fort Atkinson","Rum",17239,1125,87.7,13.3,4.3,32031,259,252,0,0,0,0,0,7,123.671814671815,97.2972972972973,0
"55","Fort Atkinson","Brandy",4799,440,87.7,13.3,4.3,32031,259,252,0,0,0,0,0,7,123.671814671815,97.2972972972973,0
"56","Fort Atkinson","Amaretto",670,80,87.7,13.3,4.3,32031,259,252,0,0,0,0,0,7,123.671814671815,97.2972972972973,0
"57","Fort Atkinson","Tequila",2271,128,87.7,13.3,4.3,32031,259,252,0,0,0,0,0,7,123.671814671815,97.2972972972973,0
"58","Fort Atkinson","Schnapps",10895,991,87.7,13.3,4.3,32031,259,252,0,0,0,0,0,7,123.671814671815,97.2972972972973,0
