"","city","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black","total.sale","total.volume","price"
"220","Paullina",90.2,17.8,1.4,29301,1034,1015,0,6,0,2,10,1,28.3375241779497,98.1624758220503,0,83760,7443,11.2535268037082
"221","Le Grand",95.7,16,2.6,31467,995,926,14,0,6,0,13,36,31.6251256281407,93.0653266331658,1.4070351758794,61304,4882,12.5571487095453
"222","Sibley",84.6,20.3,3,26414,2667,2493,6,0,21,0,111,36,9.90401199850019,93.4758155230596,0.224971878515186,233323,18240,12.7918311403509
"223","Holy Cross",91.4,10.7,0.5,36364,339,333,0,0,0,0,0,6,107.268436578171,98.2300884955752,0,83457,5712,14.6108193277311
"224","Vinton",94.5,27.5,2.9,30503,5166,5119,25,0,21,0,0,1,5.9045683313976,99.0902051877662,0.483933410762679,303752,26113,11.6322138398499
"225","Moravia",91.4,13.1,5.3,30000,792,778,0,0,0,0,0,14,37.8787878787879,98.2323232323232,0,55348,3519,15.7283319124751
"226","Orange City",95,37.6,1.7,21698,6153,5624,40,1,138,0,320,30,3.52640988135869,91.4025678530798,0.650089387290752,399051,29250,13.6427692307692
"227","Anita",92.3,15.9,7.3,27000,870,867,0,0,0,0,3,0,31.0344827586207,99.6551724137931,0,69026,5717,12.0738149379045
"228","Ruthven",90.6,17.7,2.7,27266,730,709,0,0,6,0,0,15,37.3506849315068,97.1232876712329,0,33856,3152,10.741116751269
"229","Lake Mills",90.8,22.8,5.8,30745,2027,1930,0,69,0,0,7,21,15.1677355698076,95.2146028613715,0,111630,8907,12.5328393398451
"230","Keota",90.6,14.7,10.8,24779,932,897,0,0,17,0,0,18,26.5869098712446,96.244635193133,0,21500,2066,10.406582768635
"231","Le Claire",97.9,41.4,6.5,45493,3931,3653,93,7,0,0,23,155,11.5728822182651,92.9280081404223,2.3658102264055,495528,24390,20.3168511685117
"232","Eddyville",98.3,17.3,10.8,26987,1207,1154,0,0,3,0,0,50,22.3587406793703,95.6089478044739,0,30030,2162,13.8899167437558
"233","Dysart",94.2,16.9,6.4,31366,1418,1381,0,7,16,0,0,14,22.1198871650212,97.3906911142454,0,38410,2936,13.0824250681199
"234","Central City",95.6,12,4.5,32574,1320,1285,26,0,9,0,0,0,24.6772727272727,97.3484848484848,1.96969696969697,74771,6082,12.2938178230845
"235","Mediapolis",95.7,24.6,1.7,35714,1536,1476,28,0,4,0,0,28,23.2513020833333,96.09375,1.82291666666667,109155,7900,13.8170886075949
"236","Dunlap",84.8,14.5,0.4,26779,1021,990,0,12,10,0,0,9,26.228207639569,96.9637610186092,0,123587,8332,14.83281325012
