,city,category,sale.dollars,sale.volume,high.school,bachelor,unemployment,income,Average Income,population,Sale Per Person,Volume Sale Per Person,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi,income_per_capita,prop_white,prop_black
35,West Union,Rum,42386,3215,92.5,26,6.2,26134,10.08256173,2592,16.35262346,1.240354938,2413,116,20,37,0,0,6,10.08256173,93.0941358,4.475308642
36,West Union,Brandy,5190,436,92.5,26,6.2,26134,10.08256173,2592,2.002314815,0.168209877,2413,116,20,37,0,0,6,10.08256173,93.0941358,4.475308642
37,West Union,Tequila,10917,712,92.5,26,6.2,26134,10.08256173,2592,4.211805556,0.274691358,2413,116,20,37,0,0,6,10.08256173,93.0941358,4.475308642
38,West Union,Amaretto,1713,229,92.5,26,6.2,26134,10.08256173,2592,0.66087963,0.088348765,2413,116,20,37,0,0,6,10.08256173,93.0941358,4.475308642
39,West Union,Schnapps,22281,1755,92.5,26,6.2,26134,10.08256173,2592,8.596064815,0.677083333,2413,116,20,37,0,0,6,10.08256173,93.0941358,4.475308642
40,Rockwell,Misc,5342,286,92.5,11.8,3.1,33281,30.25545455,1100,4.856363636,0.26,1062,32,0,0,0,0,6,30.25545455,96.54545455,2.909090909
41,Rockwell,Tequila,1199,73,92.5,11.8,3.1,33281,30.25545455,1100,1.09,0.066363636,1062,32,0,0,0,0,6,30.25545455,96.54545455,2.909090909
42,Rockwell,Rum,17589,1092,92.5,11.8,3.1,33281,30.25545455,1100,15.99,0.992727273,1062,32,0,0,0,0,6,30.25545455,96.54545455,2.909090909
43,Rockwell,Whisky,41925,3472,92.5,11.8,3.1,33281,30.25545455,1100,38.11363636,3.156363636,1062,32,0,0,0,0,6,30.25545455,96.54545455,2.909090909
44,Rockwell,Distilled Spirits,5,0,92.5,11.8,3.1,33281,30.25545455,1100,0.004545455,0,1062,32,0,0,0,0,6,30.25545455,96.54545455,2.909090909
45,Rockwell,Gin,604,45,92.5,11.8,3.1,33281,30.25545455,1100,0.549090909,0.040909091,1062,32,0,0,0,0,6,30.25545455,96.54545455,2.909090909
46,Rockwell,Vodka,17131,1935,92.5,11.8,3.1,33281,30.25545455,1100,15.57363636,1.759090909,1062,32,0,0,0,0,6,30.25545455,96.54545455,2.909090909
47,Rockwell,Brandy,2098,199,92.5,11.8,3.1,33281,30.25545455,1100,1.907272727,0.180909091,1062,32,0,0,0,0,6,30.25545455,96.54545455,2.909090909
48,Rockwell,Schnapps,5008,371,92.5,11.8,3.1,33281,30.25545455,1100,4.552727273,0.337272727,1062,32,0,0,0,0,6,30.25545455,96.54545455,2.909090909
49,Rockwell,Amaretto,308,46,92.5,11.8,3.1,33281,30.25545455,1100,0.28,0.041818182,1062,32,0,0,0,0,6,30.25545455,96.54545455,2.909090909
50,Fort Atkinson,Whisky,33047,2459,87.7,13.3,4.3,32031,123.6718147,259,127.5945946,9.494208494,252,0,0,0,0,0,7,123.6718147,97.2972973,0
51,Fort Atkinson,Gin,1132,143,87.7,13.3,4.3,32031,123.6718147,259,4.370656371,0.552123552,252,0,0,0,0,0,7,123.6718147,97.2972973,0
52,Fort Atkinson,Vodka,12680,1467,87.7,13.3,4.3,32031,123.6718147,259,48.95752896,5.664092664,252,0,0,0,0,0,7,123.6718147,97.2972973,0
53,Fort Atkinson,Misc,5239,302,87.7,13.3,4.3,32031,123.6718147,259,20.22779923,1.166023166,252,0,0,0,0,0,7,123.6718147,97.2972973,0
54,Fort Atkinson,Rum,17239,1125,87.7,13.3,4.3,32031,123.6718147,259,66.55984556,4.343629344,252,0,0,0,0,0,7,123.6718147,97.2972973,0
55,Fort Atkinson,Brandy,4799,440,87.7,13.3,4.3,32031,123.6718147,259,18.52895753,1.698841699,252,0,0,0,0,0,7,123.6718147,97.2972973,0
56,Fort Atkinson,Amaretto,670,80,87.7,13.3,4.3,32031,123.6718147,259,2.586872587,0.308880309,252,0,0,0,0,0,7,123.6718147,97.2972973,0
57,Fort Atkinson,Tequila,2271,128,87.7,13.3,4.3,32031,123.6718147,259,8.768339768,0.494208494,252,0,0,0,0,0,7,123.6718147,97.2972973,0
58,Fort Atkinson,Schnapps,10895,991,87.7,13.3,4.3,32031,123.6718147,259,42.06563707,3.826254826,252,0,0,0,0,0,7,123.6718147,97.2972973,0
59,Waukon,Brandy,31885,2940,85.1,17.6,5.9,25617,6.766244057,3786,8.421817221,0.776545166,3670,0,0,0,0,20,96,6.766244057,96.9360803,0
60,Waukon,Rum,100191,6562,85.1,17.6,5.9,25617,6.766244057,3786,26.46354992,1.733227681,3670,0,0,0,0,20,96,6.766244057,96.9360803,0
61,Waukon,Tequila,17798,1118,85.1,17.6,5.9,25617,6.766244057,3786,4.701003698,0.295298468,3670,0,0,0,0,20,96,6.766244057,96.9360803,0
62,Waukon,Misc,57855,3485,85.1,17.6,5.9,25617,6.766244057,3786,15.28129952,0.920496566,3670,0,0,0,0,20,96,6.766244057,96.9360803,0
63,Waukon,Whisky,230471,17016,85.1,17.6,5.9,25617,6.766244057,3786,60.87453777,4.494453249,3670,0,0,0,0,20,96,6.766244057,96.9360803,0
64,Waukon,Gin,8527,676,85.1,17.6,5.9,25617,6.766244057,3786,2.252245114,0.178552562,3670,0,0,0,0,20,96,6.766244057,96.9360803,0
65,Waukon,Vodka,122120,12081,85.1,17.6,5.9,25617,6.766244057,3786,32.25567882,3.190966719,3670,0,0,0,0,20,96,6.766244057,96.9360803,0
66,Waukon,Amaretto,1929,197,85.1,17.6,5.9,25617,6.766244057,3786,0.509508716,0.052033809,3670,0,0,0,0,20,96,6.766244057,96.9360803,0
67,Waukon,Schnapps,68361,5219,85.1,17.6,5.9,25617,6.766244057,3786,18.0562599,1.378499736,3670,0,0,0,0,20,96,6.766244057,96.9360803,0
68,Waukon,Distilled Spirits,3124,218,85.1,17.6,5.9,25617,6.766244057,3786,0.825145272,0.05758056,3670,0,0,0,0,20,96,6.766244057,96.9360803,0
69,Des Moines,Vodka,9907123,771338,87.2,25.2,7.1,28776,0.135188082,212859,46.54312479,3.623703954,164184,23469,993,11722,183,5109,7199,0.135188082,77.13274985,11.0256085
70,Des Moines,Misc,3397260,187528,87.2,25.2,7.1,28776,0.135188082,212859,15.96014263,0.88099634,164184,23469,993,11722,183,5109,7199,0.135188082,77.13274985,11.0256085
71,Des Moines,Brandy,2177548,89852,87.2,25.2,7.1,28776,0.135188082,212859,10.23000202,0.422119807,164184,23469,993,11722,183,5109,7199,0.135188082,77.13274985,11.0256085
72,Des Moines,Whisky,12225234,653282,87.2,25.2,7.1,28776,0.135188082,212859,57.43348414,3.06908329,164184,23469,993,11722,183,5109,7199,0.135188082,77.13274985,11.0256085
73,Des Moines,Amaretto,120986,11081,87.2,25.2,7.1,28776,0.135188082,212859,0.568385645,0.052057935,164184,23469,993,11722,183,5109,7199,0.135188082,77.13274985,11.0256085
74,Des Moines,Tequila,3428570,186907,87.2,25.2,7.1,28776,0.135188082,212859,16.10723531,0.878078916,164184,23469,993,11722,183,5109,7199,0.135188082,77.13274985,11.0256085
75,Des Moines,Rum,4013435,286968,87.2,25.2,7.1,28776,0.135188082,212859,18.85489925,1.34816005,164184,23469,993,11722,183,5109,7199,0.135188082,77.13274985,11.0256085
76,Des Moines,Schnapps,1409948,101552,87.2,25.2,7.1,28776,0.135188082,212859,6.623858986,0.47708577,164184,23469,993,11722,183,5109,7199,0.135188082,77.13274985,11.0256085
77,Des Moines,Distilled Spirits,170983,15285,87.2,25.2,7.1,28776,0.135188082,212859,0.803268831,0.071808098,164184,23469,993,11722,183,5109,7199,0.135188082,77.13274985,11.0256085
78,Des Moines,Gin,1220280,86697,87.2,25.2,7.1,28776,0.135188082,212859,5.732809043,0.407297789,164184,23469,993,11722,183,5109,7199,0.135188082,77.13274985,11.0256085
79,Keokuk,Misc,178004,9237,89.4,15.1,10.3,24935,2.346161084,10628,16.74858863,0.869119307,9333,528,43,82,0,122,520,2.346161084,87.81520512,4.968009033
80,Keokuk,Whisky,701182,39023,89.4,15.1,10.3,24935,2.346161084,10628,65.97497177,3.671716221,9333,528,43,82,0,122,520,2.346161084,87.81520512,4.968009033
81,Keokuk,Amaretto,7819,836,89.4,15.1,10.3,24935,2.346161084,10628,0.735698156,0.078660143,9333,528,43,82,0,122,520,2.346161084,87.81520512,4.968009033
82,Keokuk,Rum,286410,20364,89.4,15.1,10.3,24935,2.346161084,10628,26.94862627,1.916070756,9333,528,43,82,0,122,520,2.346161084,87.81520512,4.968009033
83,Keokuk,Vodka,417977,38449,89.4,15.1,10.3,24935,2.346161084,10628,39.32790741,3.617707941,9333,528,43,82,0,122,520,2.346161084,87.81520512,4.968009033
84,Keokuk,Tequila,126511,7003,89.4,15.1,10.3,24935,2.346161084,10628,11.90355664,0.658919834,9333,528,43,82,0,122,520,2.346161084,87.81520512,4.968009033
85,Keokuk,Schnapps,162382,12078,89.4,15.1,10.3,24935,2.346161084,10628,15.27869778,1.136432066,9333,528,43,82,0,122,520,2.346161084,87.81520512,4.968009033
86,Keokuk,Brandy,42891,2659,89.4,15.1,10.3,24935,2.346161084,10628,4.035660519,0.250188182,9333,528,43,82,0,122,520,2.346161084,87.81520512,4.968009033
87,Keokuk,Gin,34091,2928,89.4,15.1,10.3,24935,2.346161084,10628,3.207659014,0.275498683,9333,528,43,82,0,122,520,2.346161084,87.81520512,4.968009033
88,Keokuk,Distilled Spirits,24655,2898,89.4,15.1,10.3,24935,2.346161084,10628,2.319815581,0.27267595,9333,528,43,82,0,122,520,2.346161084,87.81520512,4.968009033
