DATE,IAPOP
2007-01-01,2999.212
2008-01-01,3016.734
2009-01-01,3032.870
2010-01-01,3050.819
2011-01-01,3066.772
2012-01-01,3076.844
2013-01-01,3093.935
2014-01-01,3110.643
2015-01-01,3122.541
2016-01-01,3133.21
2017-01-01,3143.734
2018-01-01,3149.9
2019-01-01,3159.596
2020-01-01,3190.904
2021-01-01,3197.944
