,city,high.school,bachelor,unemployment,income,Average Income,population,pop.white,% White,pop.black,% Black,pop.indian,% Indian,pop.asian,% Asian,pop.hawai,% Hawai,pop.other,% Other Racial Groups,pop.multi,% Multi-racial Group,income_per_capita,prop_white,prop_black,total.sale,total.volume,price,Sales Per Person
309,Farley,95.2,17,0.8,37586,22.26658768,1688,1685,99.82227488,0,0,0,0,0,0,0,0,0,0,3,0.177725118,22.26658768,99.82227488,0,29061,2306,12.60234172,17.21623223
310,Rock Valley,89,19.8,3.6,26688,7.366271046,3623,3553,98.06789953,21,0.579630141,0,0,13,0.358818659,0,0,23,0.634833011,13,0.358818659,7.366271046,98.06789953,0.579630141,128708,9055,14.2140254,35.52525531
311,Pacific Junction,76.5,6.3,3.4,25417,62.44963145,407,384,94.34889435,19,4.668304668,4,0.982800983,0,0,0,0,0,0,0,0,62.44963145,94.34889435,4.668304668,95733,6414,14.92563143,235.2162162
312,Fonda,88.6,13.9,3.9,28958,55.15809524,525,505,96.19047619,2,0.380952381,0,0,0,0,2,0.380952381,0,0,16,3.047619048,55.15809524,96.19047619,0.380952381,14929,1152,12.95920139,28.43619048
313,Maxwell,96.4,20.4,1.9,36042,42.95828367,839,809,96.42431466,0,0,0,0,21,2.502979738,0,0,0,0,9,1.072705602,42.95828367,96.42431466,0,31442,2481,12.67311568,37.47556615
314,Van Meter,96.1,32.7,1.4,36771,29.27627389,1256,1247,99.28343949,0,0,0,0,2,0.159235669,0,0,0,0,7,0.557324841,29.27627389,99.28343949,0,18148,1379,13.16026106,14.44904459
315,Sully,93.9,15.3,1.9,30071,35.67141163,843,781,92.64531435,22,2.609727165,0,0,0,0,0,0,0,0,40,4.744958482,35.67141163,92.64531435,2.609727165,14403,969,14.86377709,17.08540925
316,Carter Lake,90.2,17.4,8.7,31875,8.466135458,3765,3548,94.23638778,102,2.709163347,26,0.690571049,0,0,0,0,14,0.37184595,75,1.992031873,8.466135458,94.23638778,2.709163347,76234,5238,14.55402826,20.24807437
317,Swea City,88.2,14.9,1,24844,44.44364937,559,511,91.41323792,0,0,19,3.398926655,0,0,0,0,16,2.862254025,13,2.325581395,44.44364937,91.41323792,0,47254,3862,12.23562921,84.53309481
318,Prairie City,94.1,22.2,2.5,36050,18.27166751,1973,1931,97.87126204,9,0.456158135,0,0,3,0.152052712,0,0,2,0.101368474,28,1.419158642,18.27166751,97.87126204,0.456158135,22182,1913,11.5953999,11.2427775
