,city,category,sale.dollars,sale.volume,high.school,bachelor,unemployment,income,Average Income,population,Sale Per Person,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi,income_per_capita,prop_white,prop_black
3163,Peosta,Misc,1039,46,95.4,32,2.8,36406,19.35459862,1881,0.552365763,1711,95,1,6,0,0,68,19.35459862,90.96225412,5.050505051
3164,Peosta,Whisky,14269,903,95.4,32,2.8,36406,19.35459862,1881,7.585858586,1711,95,1,6,0,0,68,19.35459862,90.96225412,5.050505051
3165,Peosta,Gin,245,15,95.4,32,2.8,36406,19.35459862,1881,0.130249867,1711,95,1,6,0,0,68,19.35459862,90.96225412,5.050505051
3166,Peosta,Vodka,8985,810,95.4,32,2.8,36406,19.35459862,1881,4.776714514,1711,95,1,6,0,0,68,19.35459862,90.96225412,5.050505051
3167,Peosta,Rum,4888,306,95.4,32,2.8,36406,19.35459862,1881,2.598617757,1711,95,1,6,0,0,68,19.35459862,90.96225412,5.050505051
3168,Peosta,Brandy,833,30,95.4,32,2.8,36406,19.35459862,1881,0.442849548,1711,95,1,6,0,0,68,19.35459862,90.96225412,5.050505051
3169,Peosta,Schnapps,1067,64,95.4,32,2.8,36406,19.35459862,1881,0.567251462,1711,95,1,6,0,0,68,19.35459862,90.96225412,5.050505051
3170,Peosta,Distilled Spirits,564,25,95.4,32,2.8,36406,19.35459862,1881,0.29984051,1711,95,1,6,0,0,68,19.35459862,90.96225412,5.050505051
3171,Peosta,Amaretto,24,4,95.4,32,2.8,36406,19.35459862,1881,0.012759171,1711,95,1,6,0,0,68,19.35459862,90.96225412,5.050505051
3172,Peosta,Tequila,564,18,95.4,32,2.8,36406,19.35459862,1881,0.29984051,1711,95,1,6,0,0,68,19.35459862,90.96225412,5.050505051
3173,Bevington,Rum,5410,364,90,0,5.9,29167,540.1296296,54,100.1851852,53,0,1,0,0,0,0,540.1296296,98.14814815,0
3174,Bevington,Whisky,16611,1141,90,0,5.9,29167,540.1296296,54,307.6111111,53,0,1,0,0,0,0,540.1296296,98.14814815,0
3175,Bevington,Gin,500,33,90,0,5.9,29167,540.1296296,54,9.259259259,53,0,1,0,0,0,0,540.1296296,98.14814815,0
3176,Bevington,Vodka,9622,868,90,0,5.9,29167,540.1296296,54,178.1851852,53,0,1,0,0,0,0,540.1296296,98.14814815,0
3177,Bevington,Brandy,204,12,90,0,5.9,29167,540.1296296,54,3.777777778,53,0,1,0,0,0,0,540.1296296,98.14814815,0
3178,Bevington,Misc,2629,107,90,0,5.9,29167,540.1296296,54,48.68518519,53,0,1,0,0,0,0,540.1296296,98.14814815,0
3179,Bevington,Schnapps,710,46,90,0,5.9,29167,540.1296296,54,13.14814815,53,0,1,0,0,0,0,540.1296296,98.14814815,0
3180,Bevington,Tequila,577,22,90,0,5.9,29167,540.1296296,54,10.68518519,53,0,1,0,0,0,0,540.1296296,98.14814815,0
3181,West Point,Distilled Spirits,11,0,95.5,15.1,7.5,31483,30.86568627,1020,0.010784314,997,0,0,0,0,0,23,30.86568627,97.74509804,0
3182,Adel,Distilled Spirits,1626,69,93.7,32,3.1,37130,9.213399504,4030,0.403473945,3956,20,0,0,0,0,54,9.213399504,98.16377171,0.496277916
3183,West Union,Distilled Spirits,335,14,92.5,26,6.2,26134,10.08256173,2592,0.129243827,2413,116,20,37,0,0,6,10.08256173,93.0941358,4.475308642
3184,Baldwin,Misc,2588,111,90.9,7.3,6.7,19688,134.8493151,146,17.7260274,145,0,0,0,0,0,1,134.8493151,99.31506849,0
3185,Baldwin,Tequila,385,18,90.9,7.3,6.7,19688,134.8493151,146,2.636986301,145,0,0,0,0,0,1,134.8493151,99.31506849,0
3186,Baldwin,Whisky,14921,1173,90.9,7.3,6.7,19688,134.8493151,146,102.1986301,145,0,0,0,0,0,1,134.8493151,99.31506849,0
3187,Baldwin,Gin,353,46,90.9,7.3,6.7,19688,134.8493151,146,2.417808219,145,0,0,0,0,0,1,134.8493151,99.31506849,0
